법정동코드,법정동명,폐지여부
2772037021,대구광역시 군위군 삼국유사면 화수리,존재
2772037022,대구광역시 군위군 삼국유사면 화북리,존재
2772037023,대구광역시 군위군 삼국유사면 괴산리,존재
2772037024,대구광역시 군위군 삼국유사면 학성리,존재
2772037025,대구광역시 군위군 삼국유사면 장곡리,존재
2772037026,대구광역시 군위군 삼국유사면 인곡리,존재
2772037027,대구광역시 군위군 삼국유사면 양지리,존재
2772037028,대구광역시 군위군 삼국유사면 낙전리,존재
2772037029,대구광역시 군위군 삼국유사면 가암리,존재
2772037030,대구광역시 군위군 삼국유사면 석산리,존재
2772037031,대구광역시 군위군 삼국유사면 학암리,존재
4711100000,경상북도 포항시 남구,존재
4711110100,경상북도 포항시 남구 상도동,존재
4711110200,경상북도 포항시 남구 대도동,존재
4711110300,경상북도 포항시 남구 해도동,존재
4711110400,경상북도 포항시 남구 송도동,존재
4711110500,경상북도 포항시 남구 청림동,존재
4711110600,경상북도 포항시 남구 일월동,존재
4711110700,경상북도 포항시 남구 송정동,존재
4711110800,경상북도 포항시 남구 송내동,존재
4711110900,경상북도 포항시 남구 괴동동,존재
4711111000,경상북도 포항시 남구 동촌동,존재
4711111100,경상북도 포항시 남구 장흥동,존재
4711111200,경상북도 포항시 남구 인덕동,존재
4711111300,경상북도 포항시 남구 호동,존재
4711111400,경상북도 포항시 남구 효자동,존재
4711111500,경상북도 포항시 남구 지곡동,존재
4711111600,경상북도 포항시 남구 대잠동,존재
4711111700,경상북도 포항시 남구 이동,존재
4711125000,경상북도 포항시 남구 구룡포읍,존재
4711125021,경상북도 포항시 남구 구룡포읍 구룡포리,존재
4711125022,경상북도 포항시 남구 구룡포읍 삼정리,존재
4711125023,경상북도 포항시 남구 구룡포읍 석병리,존재
4711125024,경상북도 포항시 남구 구룡포읍 성동리,존재
4711125025,경상북도 포항시 남구 구룡포읍 구평리,존재
4711125026,경상북도 포항시 남구 구룡포읍 장길리,존재
4711125027,경상북도 포항시 남구 구룡포읍 하정리,존재
4711125028,경상북도 포항시 남구 구룡포읍 병포리,존재
4711125029,경상북도 포항시 남구 구룡포읍 후동리,존재
4711125030,경상북도 포항시 남구 구룡포읍 눌태리,존재
4711125300,경상북도 포항시 남구 연일읍,존재
4711125321,경상북도 포항시 남구 연일읍 생지리,존재
4711125322,경상북도 포항시 남구 연일읍 괴정리,존재
4711125323,경상북도 포항시 남구 연일읍 동문리,존재
